nohup: ignoring input

===== Training mlp_pooled =====
Epoch 016 | train_loss=0.741951 | val_loss=0.684903 | val_rmse=1.253481 | lr=1.00e-03
Epoch 017 | train_loss=0.740604 | val_loss=0.688566 | val_rmse=1.256829 | lr=1.00e-03
Epoch 018 | train_loss=0.739543 | val_loss=0.680113 | val_rmse=1.249090 | lr=1.00e-03
Epoch 019 | train_loss=0.740930 | val_loss=0.683982 | val_rmse=1.252638 | lr=1.00e-03
Epoch 020 | train_loss=0.739747 | val_loss=0.689714 | val_rmse=1.257876 | lr=5.00e-04
Epoch 021 | train_loss=0.737780 | val_loss=0.677159 | val_rmse=1.246374 | lr=5.00e-04
Epoch 022 | train_loss=0.737291 | val_loss=0.677517 | val_rmse=1.246704 | lr=5.00e-04
Epoch 023 | train_loss=0.737455 | val_loss=0.676803 | val_rmse=1.246046 | lr=5.00e-04
Epoch 024 | train_loss=0.736231 | val_loss=0.676799 | val_rmse=1.246043 | lr=5.00e-04
Epoch 025 | train_loss=0.736523 | val_loss=0.676389 | val_rmse=1.245665 | lr=5.00e-04
Epoch 026 | train_loss=0.735504 | val_loss=0.675291 | val_rmse=1.244654 | lr=5.00e-04
Epoch 027 | train_loss=0.735591 | val_loss=0.679519 | val_rmse=1.248544 | lr=5.00e-04
Epoch 028 | train_loss=0.736512 | val_loss=0.681372 | val_rmse=1.250246 | lr=5.00e-04
Epoch 029 | train_loss=0.736664 | val_loss=0.681635 | val_rmse=1.250487 | lr=5.00e-04
Epoch 030 | train_loss=0.735960 | val_loss=0.680690 | val_rmse=1.249620 | lr=5.00e-04
Epoch 031 | train_loss=0.736271 | val_loss=0.675743 | val_rmse=1.245070 | lr=5.00e-04
Epoch 032 | train_loss=0.737056 | val_loss=0.673954 | val_rmse=1.243421 | lr=5.00e-04
Epoch 033 | train_loss=0.735293 | val_loss=0.675788 | val_rmse=1.245111 | lr=5.00e-04
Epoch 034 | train_loss=0.736780 | val_loss=0.677822 | val_rmse=1.246985 | lr=5.00e-04
Epoch 035 | train_loss=0.736277 | val_loss=0.679249 | val_rmse=1.248296 | lr=5.00e-04
Epoch 036 | train_loss=0.735031 | val_loss=0.678008 | val_rmse=1.247155 | lr=5.00e-04
Epoch 037 | train_loss=0.735374 | val_loss=0.677652 | val_rmse=1.246827 | lr=5.00e-04
Epoch 038 | train_loss=0.734577 | val_loss=0.678526 | val_rmse=1.247631 | lr=2.50e-04
Epoch 039 | train_loss=0.733270 | val_loss=0.675575 | val_rmse=1.244915 | lr=2.50e-04
Epoch 040 | train_loss=0.734645 | val_loss=0.675247 | val_rmse=1.244614 | lr=2.50e-04
Epoch 041 | train_loss=0.734633 | val_loss=0.675661 | val_rmse=1.244995 | lr=2.50e-04
Epoch 042 | train_loss=0.734381 | val_loss=0.677966 | val_rmse=1.247117 | lr=2.50e-04
Epoch 043 | train_loss=0.733995 | val_loss=0.676658 | val_rmse=1.245913 | lr=2.50e-04
Epoch 044 | train_loss=0.733559 | val_loss=0.674940 | val_rmse=1.244331 | lr=1.25e-04
Epoch 045 | train_loss=0.733210 | val_loss=0.674926 | val_rmse=1.244317 | lr=1.25e-04
Epoch 046 | train_loss=0.733612 | val_loss=0.676722 | val_rmse=1.245972 | lr=1.25e-04
Epoch 047 | train_loss=0.732325 | val_loss=0.676183 | val_rmse=1.245475 | lr=1.25e-04
Early stopping at epoch 47
Saved results to ./outputs/representation/classical_vs_qnn_results.csv
