nohup: ignoring input

===== Training representation=graph, n_qubits=2 =====
Epoch 061 | train_loss=0.411355 | val_loss=0.384090 | val_rmse=0.938685 | lr=5.00e-04
Epoch 062 | train_loss=0.408356 | val_loss=0.389904 | val_rmse=0.945762 | lr=5.00e-04
Epoch 063 | train_loss=0.404071 | val_loss=0.372356 | val_rmse=0.924235 | lr=5.00e-04
Epoch 064 | train_loss=0.404818 | val_loss=0.380613 | val_rmse=0.934426 | lr=5.00e-04
Epoch 065 | train_loss=0.402339 | val_loss=0.380112 | val_rmse=0.933811 | lr=5.00e-04
Epoch 066 | train_loss=0.403202 | val_loss=0.376571 | val_rmse=0.929451 | lr=5.00e-04
Epoch 067 | train_loss=0.402692 | val_loss=0.383711 | val_rmse=0.938221 | lr=5.00e-04
Epoch 068 | train_loss=0.399886 | val_loss=0.382605 | val_rmse=0.936868 | lr=5.00e-04
Epoch 069 | train_loss=0.397524 | val_loss=0.390417 | val_rmse=0.946384 | lr=2.50e-04
Epoch 070 | train_loss=0.391132 | val_loss=0.381571 | val_rmse=0.935602 | lr=2.50e-04
Epoch 071 | train_loss=0.388299 | val_loss=0.376597 | val_rmse=0.929483 | lr=2.50e-04
Epoch 072 | train_loss=0.389447 | val_loss=0.375754 | val_rmse=0.928443 | lr=2.50e-04
Epoch 073 | train_loss=0.389890 | val_loss=0.378665 | val_rmse=0.932031 | lr=2.50e-04
Epoch 074 | train_loss=0.385699 | val_loss=0.368351 | val_rmse=0.919251 | lr=2.50e-04
Epoch 075 | train_loss=0.385804 | val_loss=0.374433 | val_rmse=0.926809 | lr=2.50e-04
Epoch 076 | train_loss=0.385297 | val_loss=0.379650 | val_rmse=0.933243 | lr=2.50e-04
Epoch 077 | train_loss=0.382913 | val_loss=0.373587 | val_rmse=0.925761 | lr=2.50e-04
Epoch 078 | train_loss=0.383811 | val_loss=0.371804 | val_rmse=0.923550 | lr=2.50e-04
Epoch 079 | train_loss=0.379412 | val_loss=0.372703 | val_rmse=0.924665 | lr=2.50e-04
Epoch 080 | train_loss=0.380853 | val_loss=0.369650 | val_rmse=0.920870 | lr=1.25e-04
Epoch 081 | train_loss=0.379811 | val_loss=0.366290 | val_rmse=0.916676 | lr=1.25e-04
Epoch 082 | train_loss=0.379205 | val_loss=0.372044 | val_rmse=0.923847 | lr=1.25e-04
Epoch 083 | train_loss=0.377689 | val_loss=0.369187 | val_rmse=0.920294 | lr=1.25e-04
Epoch 084 | train_loss=0.377325 | val_loss=0.367381 | val_rmse=0.918040 | lr=1.25e-04
Epoch 085 | train_loss=0.376960 | val_loss=0.367243 | val_rmse=0.917868 | lr=1.25e-04
Epoch 086 | train_loss=0.379051 | val_loss=0.368553 | val_rmse=0.919502 | lr=1.25e-04
Epoch 087 | train_loss=0.379803 | val_loss=0.369745 | val_rmse=0.920988 | lr=6.25e-05
Epoch 088 | train_loss=0.372953 | val_loss=0.364678 | val_rmse=0.914656 | lr=6.25e-05
Epoch 089 | train_loss=0.374657 | val_loss=0.365711 | val_rmse=0.915951 | lr=6.25e-05
Epoch 090 | train_loss=0.372232 | val_loss=0.366294 | val_rmse=0.916681 | lr=6.25e-05
Epoch 091 | train_loss=0.374075 | val_loss=0.367509 | val_rmse=0.918200 | lr=6.25e-05
Epoch 092 | train_loss=0.371620 | val_loss=0.366996 | val_rmse=0.917559 | lr=6.25e-05
Epoch 093 | train_loss=0.369872 | val_loss=0.370511 | val_rmse=0.921942 | lr=6.25e-05
Epoch 094 | train_loss=0.371696 | val_loss=0.365633 | val_rmse=0.915854 | lr=3.13e-05
Epoch 095 | train_loss=0.366306 | val_loss=0.365897 | val_rmse=0.916184 | lr=3.13e-05
Epoch 096 | train_loss=0.371343 | val_loss=0.365569 | val_rmse=0.915773 | lr=3.13e-05
Epoch 097 | train_loss=0.369936 | val_loss=0.364605 | val_rmse=0.914565 | lr=3.13e-05
Epoch 098 | train_loss=0.371134 | val_loss=0.364501 | val_rmse=0.914434 | lr=3.13e-05
Epoch 099 | train_loss=0.371554 | val_loss=0.364922 | val_rmse=0.914962 | lr=3.13e-05
Epoch 100 | train_loss=0.369402 | val_loss=0.365004 | val_rmse=0.915065 | lr=3.13e-05

===== Training representation=graph, n_qubits=4 =====
Epoch 001 | train_loss=0.850650 | val_loss=0.637216 | val_rmse=1.209056 | lr=1.00e-03
Epoch 002 | train_loss=0.667007 | val_loss=0.578955 | val_rmse=1.152459 | lr=1.00e-03
Epoch 003 | train_loss=0.626718 | val_loss=0.549396 | val_rmse=1.122654 | lr=1.00e-03
