nohup: ignoring input

===== Training qnn_pooled =====
Epoch 003 | train_loss=0.642725 | val_loss=0.549589 | val_rmse=1.122851 | lr=1.00e-03
Epoch 004 | train_loss=0.612014 | val_loss=0.536043 | val_rmse=1.108927 | lr=1.00e-03
Epoch 005 | train_loss=0.598926 | val_loss=0.527187 | val_rmse=1.099729 | lr=1.00e-03
Epoch 006 | train_loss=0.586407 | val_loss=0.508516 | val_rmse=1.080079 | lr=1.00e-03
Epoch 007 | train_loss=0.572381 | val_loss=0.494558 | val_rmse=1.065152 | lr=1.00e-03
Epoch 008 | train_loss=0.562170 | val_loss=0.487675 | val_rmse=1.057714 | lr=1.00e-03
Epoch 009 | train_loss=0.559631 | val_loss=0.478457 | val_rmse=1.047670 | lr=1.00e-03
Epoch 010 | train_loss=0.548208 | val_loss=0.459742 | val_rmse=1.026975 | lr=1.00e-03
Epoch 011 | train_loss=0.542830 | val_loss=0.459444 | val_rmse=1.026643 | lr=1.00e-03
Epoch 012 | train_loss=0.534082 | val_loss=0.453342 | val_rmse=1.019803 | lr=1.00e-03
Epoch 013 | train_loss=0.531530 | val_loss=0.450488 | val_rmse=1.016587 | lr=1.00e-03
Epoch 014 | train_loss=0.525897 | val_loss=0.442509 | val_rmse=1.007545 | lr=1.00e-03
Epoch 015 | train_loss=0.516035 | val_loss=0.443427 | val_rmse=1.008589 | lr=1.00e-03
Epoch 016 | train_loss=0.514949 | val_loss=0.445936 | val_rmse=1.011438 | lr=1.00e-03
Epoch 017 | train_loss=0.509481 | val_loss=0.436185 | val_rmse=1.000318 | lr=1.00e-03
Epoch 018 | train_loss=0.504780 | val_loss=0.435974 | val_rmse=1.000077 | lr=1.00e-03
Epoch 019 | train_loss=0.499481 | val_loss=0.431148 | val_rmse=0.994526 | lr=1.00e-03
Epoch 020 | train_loss=0.496438 | val_loss=0.450402 | val_rmse=1.016490 | lr=1.00e-03
Epoch 021 | train_loss=0.499806 | val_loss=0.442015 | val_rmse=1.006982 | lr=1.00e-03
