experiment,model,representation,num_samples,target_index,n_qubits,scaled_loss,mse,rmse,mae
qubit_scaling,qnn_graph,graph,20000,0,2,0.38670757865905764,0.8871334195137024,0.9418776032551694,0.6886718273162842
qubit_scaling,qnn_graph,graph,20000,0,4,0.35572902512550353,0.8160665035247803,0.9033639928206018,0.6624692678451538
qubit_scaling,qnn_graph,graph,20000,0,6,0.38004348850250247,0.8718454837799072,0.9337266643830555,0.6855514049530029
qubit_scaling,qnn_graph,graph,20000,0,8,0.3880188665390015,0.8901416063308716,0.9434731614258413,0.6929473876953125
