experiment,model,num_samples,target_index,n_qubits,scaled_loss,mse,rmse,mae
classical_vs_qnn,mlp_pooled,20000,0,0,0.7113822569847107,1.6319591999053955,1.2774815849574488,0.9613913893699646
classical_vs_qnn,qnn_pooled,20000,0,4,0.7104026229381561,1.6297117471694946,1.2766016399681988,0.964556097984314
