experiment,model,num_samples,target_index,n_qubits,scaled_loss,mse,rmse,mae
representation,qnn_pooled,20000,0,4,0.7110996952056885,1.6313109397888184,1.2772278339391208,0.9609966278076172
representation,qnn_graph,20000,0,4,0.4051054303646088,0.9293392300605774,0.9640224219698302,0.6998471617698669
